"NP","NM","nlP","nlM","nlnP","nlnM","zoP","zoM","wP","wM","timesteps","Lambda","mutprb","prbHorz","pfP","pfM","FLFC","FC","pVp","tVp","pVm","tVm","dP","dM","tcoefP","tcoefM","repl"
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.4,0.1,1,0.280095818157412,0.000745540151142162,0.719904181842588,0.00191619238041307,0.00194841970118231,0.00194841970118231,-1.24689123038671e-06,-6.21657248164431e-05,3
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.4,0.1,1,0.559100013915956,0.00118659964026066,0.440899986084045,0.00093573913764363,0.0152058258785994,0.0152058258785994,-0.000391960766700466,1.54992370707714e-05,4
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.4,0.1,1,0.61087601124207,0.000974757142022099,0.38912398875793,0.000620913868270421,0.00545405359919671,0.00545405359919671,-0.000111518484117344,-6.15781790646543e-05,5
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.5,0.1,0.99999359742822,0.551522767845262,0.000600211119010649,0.448477232154738,0.00048806873814848,0.00287890486419951,0.00287890486419951,0.000114324778214347,-9.05887708673149e-06,1
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.5,0.1,0.999998702281553,0.36068760713086,0.000410549098224771,0.63931239286914,0.000727691002372365,0.0186684147567466,0.0186684147567466,1.80563833361191e-05,-6.13767255630187e-05,2
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.5,0.1,0.999990787539598,0.561658024167488,0.000968338514170135,0.438341975832512,0.000755732846878157,0.0027142309872823,0.0027142309872823,-2.01963263230173e-05,5.00818996701084e-05,3
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.5,0.1,0.999997880844031,0.76892020272385,0.00204211351540366,0.23107979727615,0.000613706305911484,0.00208725290735678,0.00208725290735678,0.000385198918143554,3.2933007452051e-05,4
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.5,0.1,0.999996709901825,0.501493785283131,0.000956296016949977,0.498506214716869,0.000950599033424529,0.00458287466440743,0.00458287466440743,-0.000269825849090696,1.22904319387775e-05,5
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.6,0.1,0.999976330068528,0.782950408453317,0.00197014110915932,0.217049591546683,0.000546162717862425,0.00788149496041002,0.00788149496041002,0.000207179857827968,7.10709989610401e-05,1
2000,2000,20,40,3,3,2,2,0.75,0.25,1000,25,1e-04,0.2,0.6,0.6,0.1,0.999985838805209,0.488032425972527,0.000947852656022011,0.511967574027473,0.000994339308237694,0.00186706765136879,0.00186706765136879,4.54593257699855e-05,-0.000217755417198745,2
