"zerostate","reststate","linkage","location","locusname"
0,0.00264819808609665,1,0,"cP1"
0,-0.00806714553385973,1,20,"cP2"
0,-0.0138352335244417,1,40,"cP3"
0,-0.0268494242429733,1,60,"cP4"
0,0.0293678330666565,1,80,"cP5"
0,0.0458640158532147,1,100,"cP6"
0,0.0187070580927615,2,0,"cP7"
0,0.0192507299764042,2,20,"cP8"
0,0.0721390629526148,2,40,"cP9"
0,0.0859119754234209,2,60,"cP10"
0,0.121526159935429,2,80,"cP11"
0,0.247967283542065,2,100,"cP12"
0,0.0220259572681894,3,0,"cP13"
0,0.0456719121227914,3,50,"cP14"
0,0.0643661035302037,3,100,"cP15"
0,0.012201067507267,4,0,"cP16"
0,0.0427371576597874,4,20,"cP17"
0,0.0544273501245265,4,40,"cP18"
0,0.0573149811273401,4,60,"cP19"
0,0.0778170294297819,4,80,"cP20"
0,0.119628529038791,4,100,"cP21"
0,-0.0109882642701268,5,0,"cP22"
0,0.0523466091755698,5,33,"cP23"
0,0.074151844527937,5,67,"cP24"
0,0.0775158261474142,5,100,"cP25"
0,0.0122945104277651,6,0,"cP26"
0,-0.020982344225049,6,50,"cP27"
0,0.044622823706079,6,100,"cP28"
0,0.0016821926087141,7,0,"cP29"
0,0.0344367704542693,7,100,"cP30"
0,0.109122406684591,8,0,"cP31"
0,0.118320751481487,8,100,"cP32"
0,0.0595446339096843,9,0,"cP33"
0,0.0725039912980018,9,25,"cP34"
0,0.0869997717456821,9,50,"cP35"
0,0.114429170621366,9,75,"cP36"
0,0.141808524394214,9,100,"cP37"
0,0.147311666071085,10,0,"cP38"
0,0.159201868987622,10,17,"cP39"
0,0.219442469205121,10,33,"cP40"
0,0.220173143467094,10,50,"cP41"
0,0.230068275618712,10,67,"cP42"
0,0.231174546690755,10,83,"cP43"
0,0.232046774837533,10,100,"cP44"
0,0,11,0,"cP45"
0,0.00218885009945017,12,0,"cP46"
0,-0.0354940290732269,12,50,"cP47"
0,0.0774416261132727,12,100,"cP48"
0,0.145374744670422,13,0,"cP49"
0,0.159131678087593,13,25,"cP50"
0,0.164200973963321,13,50,"cP51"
0,0.16879536096561,13,75,"cP52"
0,0.185817189501554,13,100,"cP53"
0,-0.00273967629298568,14,0,"cP54"
0,-0.00358167985506139,14,25,"cP55"
0,0.0268436317704618,14,50,"cP56"
0,0.0664699803683273,14,75,"cP57"
0,0.0676931513812313,14,100,"cP58"
0,-0.0116770874522626,15,0,"cP59"
0,-0.0221579975262284,15,100,"cP60"
0,0.126763117604687,16,0,"cP61"
0,0.194061392560533,16,25,"cP62"
0,0.227059884084502,16,50,"cP63"
0,0.24227730536286,16,75,"cP64"
0,0.285890830317991,16,100,"cP65"
0,-0.00722829587757587,17,0,"cP66"
0,-0.0226642967201769,17,33,"cP67"
0,0.0488691099343782,17,67,"cP68"
0,-0.108203550199594,17,100,"cP69"
0,0.00690870595619612,18,0,"cP70"
0,0.046170091890836,18,14,"cP71"
0,0.0518383167433379,18,29,"cP72"
0,0.0527529610331299,18,43,"cP73"
0,0.0561497039097188,18,57,"cP74"
0,0.0577851587171795,18,71,"cP75"
0,0.0933687652007464,18,86,"cP76"
0,0.12888132896042,18,100,"cP77"
0,0.120259359228405,19,0,"cP78"
0,0.143626536942067,19,33,"cP79"
0,0.155406394415637,19,67,"cP80"
0,0.164895452215316,19,100,"cP81"
0,0.0474146404632587,20,0,"cP82"
0,0.0753618611005204,20,20,"cP83"
0,0.112442356365164,20,40,"cP84"
0,0.118345991203923,20,60,"cP85"
0,0.147934945501931,20,80,"cP86"
0,0.229329207890072,20,100,"cP87"
