"NP","NM","nlP","nlM","nlnP","nlnM","zoP","zoM","wP","wM","timesteps","Lambda","mutprb","prbHorz","pfP","pfM","FLFC","FC","pVp","tVp","pVm","tVm","dP","dM","tcoefP","tcoefM","repl"
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0,0,0.1,1,0.508303481180342,0.0138052500620024,0.491696518819658,0.0133542138668004,0.0559815611267112,0.0559815611267112,0.00423142665751097,0.0011189130216526,1
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0,0,0.1,1,0.569969371242343,0.00915097123405873,0.430030628757657,0.00690422698494848,0.0388754669545597,0.0388754669545597,-0.000386349756043316,0.00230641823767408,2
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0,0,0.1,1,0.572646802538501,0.00957537963159313,0.427353197461499,0.00714588658197199,0.0297291787050666,0.0297291787050666,0.000604776586354243,0.000829915483441684,3
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0,0,0.1,1,0.725390254765654,0.0123699476300162,0.274609745234346,0.00468286986890716,0.035797369185832,0.035797369185832,-0.0023176770871835,0.00224557333521284,4
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0,0,0.1,1,0.77092846717527,0.0164939897417015,0.22907153282473,0.00490097807176698,0.00339478384509162,0.00339478384509162,0.00108411171389155,-0.00172399622873477,5
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0,0,0.1,1,0.586226896175875,0.00987922410536925,0.413773103824125,0.00697299500947218,0.0117497761682253,0.0117497761682253,-0.000191001985019182,-0.00100774912549493,6
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0,0,0.1,1,0.415275296412567,0.00844053060906351,0.584724703587433,0.011884614377837,0.00607124753606014,0.00607124753606014,0.000457641443517633,-0.000925854714163701,7
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0,0,0.1,1,0.577392929596664,0.0129342975168864,0.422607070403336,0.00946690771768693,0.0119373119898805,0.0119373119898805,-0.000411190582760947,0.00117809884941639,8
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0,0,0.1,1,0.570492576408801,0.0110100193578546,0.429507423591199,0.00828912635086204,0.016755506882804,0.016755506882804,-0.00165319497705388,0.000709639380774944,9
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0,0,0.1,1,0.675457783701185,0.0129338392945165,0.324542216298815,0.00621441779365453,0.026351489922789,0.026351489922789,0.000246199119576899,0.00142720246196222,10
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0.4,0,0.1,1,0.584844116358334,0.0123719770146507,0.415155883641666,0.00878233858603903,0.00968929824543263,0.00968929824543263,0.00133577909543788,-0.00217251513111739,1
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0.4,0,0.1,1,0.531263454165511,0.00619284538776371,0.468736545834489,0.0054639801273495,0.0149766157039297,0.0149766157039297,0.00216220302888993,-0.00138040855065294,2
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0.4,0,0.1,1,0.625410176549931,0.0141225966056488,0.374589823450069,0.0084587382289648,0.00829883981840007,0.00829883981840007,0.000986271223041006,0.00144249805364563,3
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0.4,0,0.1,1,0.552030683650937,0.0122245551413061,0.447969316349063,0.00992014714309802,0.0114433652364532,0.0114433652364532,-0.000690778792436488,0.000461166893350517,4
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0.4,0,0.1,1,0.310237420089726,0.0032662362497796,0.689762579910274,0.00726194648470467,0.0414801255261357,0.0414801255261357,-0.000896252981748827,0.00458141858102161,5
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0.4,0,0.1,1,0.768945077511852,0.0145067505045421,0.231054922488148,0.00435903188850342,0.0208935275149487,0.0208935275149487,0.000601216027674241,0.00264112338930694,6
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0.4,0,0.1,1,0.776481742827095,0.00925671746188437,0.223518257172904,0.00266464134325836,0.0497271519750173,0.0497271519750173,0.00184865299220614,0.000842895784512882,7
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0.4,0,0.1,1,0.62444219382901,0.0113900058721904,0.37555780617099,0.00685028279624206,0.015421793810962,0.015421793810962,0.00425370130348806,-0.00196711980886692,8
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0.4,0,0.1,1,0.53936172589991,0.00948918316997102,0.46063827410009,0.00810417341115936,0.00505306839907715,0.00505306839907715,0.00166368237472472,-0.00149771950325555,9
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0.4,0,0.1,1,0.702074700390706,0.0131456679160176,0.297925299609294,0.00557836231709294,0.00394271418315828,0.00394271418315828,0.00352941204098531,-0.000549201998081633,10
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0.9,0,0.1,1,0.630046310195347,0.0131190768895026,0.369953689804653,0.00770332406295282,0.0238523863202772,0.0238523863202772,-0.000937897530953274,0.00199846060017445,1
100,100,100,200,3,3,1,1,0.25,0.25,1000,25,5e-04,0.2,0.9,0,0.1,1,0.675528422195431,0.013075977562918,0.324471577804569,0.00628068772796904,0.0125109472446117,0.0125109472446117,-0.00442978248254321,0.00284182599398085,2
