"NP","NM","nlP","nlM","nlnP","nlnM","zoP","zoM","wP","wM","timesteps","Lambda","mutprb","fiterrP","fiterrM","prbHorz","pfP","pfM","FLFC","FC","pVp","tVp","pVm","tVm","dP","dM","tcoefP","c.0..rep.tcoefM..each...10.."
100,100,10,20,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.927885443409747,0.99419907248932,0.0214163535353535,0.00580092751067951,0.000124959595959596,0.3118,0.6882,0.0123460606060606,-0.000172121212121217
100,100,25,50,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,-0.237941015242719,0.505586426253233,0.00378282828282828,0.494413573746767,0.00369923232323232,0.5674,0.4326,0.00242121212121215,-0.000108484848484847
100,100,50,100,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,-0.221740251269068,0.790872591788134,0.0161387777777778,0.209127408211866,0.00426751515151515,0.5073,0.4927,-0.00230666666666663,-0.00202363636363635
100,100,75,150,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,-0.154536873732581,0.612233159027991,0.016083797979798,0.387766840972008,0.0101869090909091,0.4512,0.5488,0.00211333333333328,-0.0088109090909091
100,100,125,250,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.211361979076908,0.749839605579127,0.0311782929292929,0.250160394420873,0.0104016565656566,0.4451,0.5549,0.0104109090909091,-0.00822787878787879
100,100,150,300,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.323677626888654,0.485337278257992,0.0214475151515152,0.514662721742008,0.0227434343434343,0.5636,0.4364,0.00103515151515153,-0.0172806060606061
100,100,200,400,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.750449975368672,0.599796038226075,0.0455545454545455,0.400203961773925,0.0303955151515152,0.3988,0.6012,0.0140181818181818,-0.00735636363636365
100,100,250,500,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.508750485520202,0.685772159940866,0.049630494949495,0.314227840059133,0.022741202020202,0.4148,0.5852,0.02764,-0.0172684848484848
100,100,300,600,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.315850419531238,0.595295036137882,0.0460425353535354,0.404704963862118,0.0313015252525253,0.4524,0.5476,0.0133533333333333,-0.0104369696969697
100,100,500,1000,3,3,3,2,1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.624460390707095,0.691163167907326,0.118245444444444,0.308836832092674,0.0528363636363636,0.5639,0.4361,0.00648242424242423,-0.00913636363636363
100,100,100,200,3,3,3,2,0.1,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.975955277797371,0.523414634146341,0.00246031313131313,0.476585365853659,0.00224019191919192,0.0333999999999999,0.9666,-0.00095515151515158,-0.00265515151515149
100,100,100,200,3,3,3,2,0.15,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.869410414649643,0.38546808369606,0.00176221212121212,0.61453191630394,0.00280940404040404,0.0242,0.9758,0.00431939393939394,-0.00246181818181818
100,100,100,200,3,3,3,2,0.25,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.877087822844994,0.393537535482572,0.0107815252525253,0.606462464517428,0.0166149090909091,0.1145,0.8855,0.00354848484848487,0.00103030303030303
100,100,100,200,3,3,3,2,0.5,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.432739778520285,0.683753376289069,0.0209062222222222,0.316246623710931,0.00966945454545454,0.174,0.826,0.00164121212121212,-0.000243030303030291
100,100,100,200,3,3,3,2,0.75,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.253224961228216,0.442180532233133,0.00803276767676767,0.557819467766868,0.010133494949495,0.2794,0.7206,0.00476606060606071,0.000860606060606065
100,100,100,200,3,3,3,2,1.25,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.290384589898969,0.470593949190871,0.0207489292929293,0.529406050809129,0.0233420101010101,0.5645,0.4355,0.00740787878787883,0.00291878787878786
100,100,100,200,3,3,3,2,1.5,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.360435465684756,0.655282618082406,0.0235916767676768,0.344717381917594,0.0124106161616162,0.6025,0.3975,0.00784545454545451,-0.0000066666666666633
100,100,100,200,3,3,3,2,2,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.365692451947844,0.849312722825938,0.0212426666666667,0.150687277174062,0.00376892929292929,0.775,0.225,-0.00117696969696973,0.00122909090909093
100,100,100,200,3,3,3,2,2.5,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.724741973247645,0.753197726403904,0.0305888888888889,0.246802273596096,0.0100231414141414,0.8017,0.1983,0.00544727272727271,0.00442
100,100,100,200,3,3,3,2,5,1,500,30,0.0005,0.001,0.001,0.2,0.6,0.6,0.1,0.99140825376451,0.705300800421514,0.0219044343434343,0.294699199578486,0.00915243434343434,1.0284,0.0284,0.000709090909090881,0.00089575757575758
